Store,Date,Weekly_Sales,IsHoliday
1,05-02-2010,50605.27,FALSE
1,12-02-2010,44682.74,TRUE
1,19-02-2010,47928.89,FALSE
1,26-02-2010,44292.87,FALSE
1,05-03-2010,48397.98,FALSE
1,12-03-2010,43751.94,FALSE
1,19-03-2010,43615.49,FALSE
1,26-03-2010,41892.55,FALSE
1,02-04-2010,47450.5,FALSE
1,09-04-2010,46549.73,FALSE
1,16-04-2010,45025.02,FALSE
1,23-04-2010,44418.11,FALSE
1,30-04-2010,45971.3,FALSE
1,07-05-2010,47903.01,FALSE
1,14-05-2010,43675.61,FALSE
1,21-05-2010,44319.15,FALSE
1,28-05-2010,44619.52,FALSE
1,04-06-2010,48754.47,FALSE
1,11-06-2010,47089.54,FALSE
1,18-06-2010,44428.71,FALSE
1,25-06-2010,45299.92,FALSE
1,02-07-2010,47077.72,FALSE
1,09-07-2010,46752.12,FALSE
1,16-07-2010,44339.2,FALSE
1,23-07-2010,44763.33,FALSE
1,30-07-2010,45833.77,FALSE
1,06-08-2010,50031.73,FALSE
1,13-08-2010,45475.69,FALSE
1,20-08-2010,49754.17,FALSE
1,27-08-2010,49623.53,FALSE
1,03-09-2010,49015.05,FALSE
1,10-09-2010,45182.5,TRUE
1,17-09-2010,44681.64,FALSE
1,24-09-2010,42477.49,FALSE
1,01-10-2010,45829.02,FALSE
1,08-10-2010,46387.54,FALSE
1,15-10-2010,43110.79,FALSE
1,22-10-2010,42371.48,FALSE
1,29-10-2010,44081.33,FALSE
1,05-11-2010,46381.43,FALSE
1,12-11-2010,43194.49,FALSE
1,19-11-2010,41443.25,FALSE
1,26-11-2010,45681.98,TRUE
1,03-12-2010,44405.02,FALSE
1,10-12-2010,46955.82,FALSE
1,17-12-2010,49303.28,FALSE
1,24-12-2010,59889.32,FALSE
1,31-12-2010,35819.83,TRUE
1,07-01-2011,43202.29,FALSE
1,14-01-2011,39857.4,FALSE
1,21-01-2011,41596.99,FALSE
1,28-01-2011,41651.01,FALSE
1,04-02-2011,46829.12,FALSE
1,11-02-2011,47595.35,TRUE
1,18-02-2011,49202.06,FALSE
1,25-02-2011,46165.25,FALSE
1,04-03-2011,53035.54,FALSE
1,11-03-2011,48465.72,FALSE
1,18-03-2011,45222.3,FALSE
1,25-03-2011,44293.54,FALSE
1,01-04-2011,46991.58,FALSE
1,08-04-2011,48501.79,FALSE
1,15-04-2011,44464.74,FALSE
1,22-04-2011,46544.56,FALSE
1,29-04-2011,43682.41,FALSE
1,06-05-2011,50139.92,FALSE
1,13-05-2011,44274.15,FALSE
1,20-05-2011,44302.11,FALSE
1,27-05-2011,45072.11,FALSE
1,03-06-2011,47844.27,FALSE
1,10-06-2011,46363.93,FALSE
1,17-06-2011,42939.63,FALSE
1,24-06-2011,42415.81,FALSE
1,01-07-2011,45247.74,FALSE
1,08-07-2011,44623.23,FALSE
1,15-07-2011,43260.96,FALSE
1,22-07-2011,45113.56,FALSE
1,29-07-2011,43191.02,FALSE
1,05-08-2011,49359.75,FALSE
1,12-08-2011,45341.92,FALSE
1,19-08-2011,46391.12,FALSE
1,26-08-2011,47659.93,FALSE
1,02-09-2011,49419.75,FALSE
1,09-09-2011,43315.85,TRUE
1,16-09-2011,42963.96,FALSE
